gene	n
AATK	2
ABCA2	2
ABCC9	3
ABL1	2
ACACA	5
ACTC1	4
ACTL6A	2
AEBP2	2
AGO2	5
AGO3	2
AKT3	2
ANKIB1	2
ANKRD17	5
ANKRD28	2
ANKRD52	2
AP2A1	3
AP2B1	4
AP2M1	4
ARF1	2
ARFGEF1	3
ARHGAP35	3
ARHGAP44	2
ARID4A	2
ARIH1	5
ARNTL	2
ATL1	2
ATP1A1	8
ATP1A2	2
ATP1A3	5
ATP2A2	2
ATP2B1	6
ATP2B2	3
ATR	2
BAI1	3
BAI2	4
BAP1	2
BCL11B	2
BIRC6	2
BNC2	2
BRD3	2
BRD4	4
BRD8	2
BRPF1	2
BRSK1	2
BSN	2
C7orf55-LUC7L2	2
CACNA1A	8
CACNA1B	4
CACNA1C	6
CACNA1E	7
CACNA1G	3
CACNA1I	6
CACNA2D1	2
CALM3	2
CAMK2A	5
CAMK2B	5
CAMK2D	3
CAND1	5
CARM1	2
CBX6	2
CCDC6	3
CCDC88A	2
CCNK	3
CCNT2	2
CDC5L	2
CDC73	3
CDK12	2
CELF2	6
CELF5	3
CHD1	4
CHD2	9
CHD3	3
CHD4	11
CHD5	5
CHD6	3
CHD7	3
CHD8	5
CHD9	2
CIC	2
CIT	3
CLASP1	2
CLDN5	2
CLK2	2
CLTC	8
CMIP	3
CNNM2	5
CNOT1	8
CNOT2	2
CNOT3	4
CNOT6L	4
COL4A3BP	2
COPS2	4
COPS4	3
COPS5	3
CREB1	2
CREBRF	2
CSNK1A1	3
CSNK2A1	3
CSTF3	3
CTCF	3
CTNNB1	2
CTR9	3
CUL1	5
CUL2	3
CYFIP2	4
DCAF7	2
DDX17	2
DDX23	2
DDX46	7
DDX6	4
DHX15	10
DHX30	3
DHX8	3
DHX9	4
DLG4	4
DNM1	2
DNM3	2
DNMT1	4
DOCK9	2
DOT1L	3
DROSHA	4
DYNC1H1	15
EEF1A2	3
EEF2	2
EGR3	2
EIF4A1	3
EIF4A2	3
EIF4A3	3
EIF4G1	3
EIF4G3	3
EIF5A	2
EIF5B	2
ELAVL1	3
EP300	3
EPPK1	2
ERBB2	2
ETF1	4
FADS2	2
FAM49B	2
FBXO11	4
FBXO28	2
FBXO45	2
FBXW11	2
FBXW7	3
FCHO2	2
FEZF2	3
FOXG1	4
FOXJ3	2
FYN	2
G3BP2	3
GABBR2	2
GABPA	2
GABPB1	2
GABRA1	2
GABRA2	2
GABRA5	2
GABRB2	4
GABRB3	2
GFPT1	2
GNA11	2
GNAL	3
GNAO1	4
GNAQ	3
GNAS	3
GPR126	2
GRAMD1B	2
GRIA1	2
GRIA2	4
GRIA4	2
GRIN1	6
GRIN2A	2
GRIN2B	6
H2AFY	2
H3F3A	2
HCN1	3
HDAC2	3
HERC1	2
HERC3	2
HMGB1	2
HNF1B	2
HNRNPA1	2
HNRNPA3	2
HNRNPD	2
HNRNPH1	2
HNRNPK	2
IKZF1	2
IKZF4	2
INO80	3
INTS6	2
ITPR1	5
JMJD1C	4
KALRN	3
KAT6B	2
KCNA1	2
KCNA3	2
KCNB1	7
KCNB2	3
KCNC1	5
KCND2	3
KCND3	3
KCNG1	2
KCNH1	2
KCNJ3	2
KCNJ4	2
KCNJ6	5
KCNJ9	2
KCNMA1	6
KCNQ2	2
KCNQ5	2
KDM1A	3
KDM2A	6
KDM3B	4
KDM6B	3
KIAA1109	3
KIF11	2
KIF1A	3
KIF2A	4
KIF5C	2
KLHL7	2
KMT2A	4
KMT2B	8
KMT2D	2
KPNA3	2
KPNA4	3
KPNB1	4
LEO1	3
LHX6	2
LMTK3	3
LRRC7	2
LUC7L2	2
LYN	2
MAGOH	2
MAP3K1	2
MAP3K12	3
MAP3K2	2
MAP4K4	3
MAPK1	3
MAPK8	2
MARCH6	2
MARK2	2
MAST1	5
MAST3	2
MAT2A	2
MAU2	2
MDM4	2
MECOM	2
MED13L	2
MEF2C	4
MEIS1	2
MEX3A	2
MGEA5	2
MINK1	3
MLLT3	3
MMP16	2
MTOR	5
MYBL1	2
MYH9	2
MYO9B	3
MYT1L	3
NAA15	2
NAA25	2
NACA	2
NACC2	2
NALCN	2
NAV1	2
NBEA	5
NCDN	2
NCKAP1	3
NCOR1	2
NEDD4L	2
NEUROD2	3
NF1	3
NFIX	3
NIPBL	5
NLGN2	2
NOVA2	2
NR2F1	2
NR2F2	2
NR4A2	2
NRBP1	3
NRF1	3
NSD1	5
NUDT21	3
PABPC1	3
PACS1	2
PAK2	2
PAPD5	2
PARP6	3
PAX6	3
PBRM1	2
PCBP2	4
PCF11	4
PCSK2	2
PDE4D	4
PDE8B	2
PDS5A	7
PHF21A	2
PHF5A	3
PHIP	3
PHTF2	2
PIGN	2
PIK3CA	5
PLCB1	2
PLK2	2
POLR1B	2
POLR2A	7
POLR2B	8
POU3F2	2
PPFIA2	4
PPFIA3	3
PPP1CB	4
PPP1R9B	2
PPP2CA	6
PPP2R1A	2
PPP2R2A	2
PPP2R5C	2
PPP2R5E	2
PPP3CA	2
PPP3CB	2
PPP3R1	2
PRDM16	2
PRKAA1	2
PRKCB	3
PRKCG	2
PRKG2	2
PROX1	2
PRPF19	2
PRPF3	2
PRPF40A	4
PRPF4B	3
PRPF6	4
PRPF8	11
PRR12	2
PSMC1	3
PSMC2	4
PSMC3	2
PSMC4	2
PSMC5	3
PSMD1	2
PSMD14	4
PTBP2	3
PUF60	4
PURA	3
PURB	2
QKI	2
QRICH1	2
RAB10	2
RAB11A	3
RAB14	2
RABGAP1	2
RAC1	2
RAD21	2
RAN	2
RAP1B	3
RARA	2
RARG	3
RBBP4	4
RBM17	2
RBM25	3
RBM39	3
RBPJ	3
RBX1	2
RCOR3	2
RDH10	2
RHOA	3
RIN2	2
RLF	2
RNF145	3
ROCK2	3
RPTOR	3
RRAGA	2
RTF1	4
RYR2	5
SAMD4B	2
SATB2	5
SBNO1	2
SCN1A	3
SCN2A	11
SCN8A	13
SEC61A1	2
SENP3	2
SENP5	2
SETD1B	2
SETD5	2
SF1	3
SF3A1	2
SF3A3	2
SF3B1	13
SF3B4	3
SFSWAP	2
SIAH1	2
SIN3A	2
SLC12A5	2
SLC4A10	4
SLC6A1	2
SLC8A2	2
SLC9A5	2
SLU7	2
SMARCA2	5
SMARCA4	8
SMARCA5	8
SMC3	8
SMCHD1	2
SMEK1	3
SMNDC1	2
SNX13	2
SP8	2
SPAST	2
SPEN	2
SPIN1	3
SPOP	3
SPPL3	2
SPTAN1	2
SRC	2
SRF	2
SRPK2	2
SRSF1	2
SRSF2	2
SRSF7	2
SSRP1	2
STAG1	2
STAT1	8
STAT3	3
STK38L	2
STXBP1	2
SUPT16H	3
SUPT5H	2
SUPT6H	2
SUV39H2	2
SUV420H1	4
SYNCRIP	2
TAOK1	3
TAOK2	2
TARDBP	2
TBL1XR1	4
TBR1	4
TCF7L2	3
TERT	2
TET1	3
TET3	2
TFAP2C	2
THOC1	4
TIAL1	2
TLE3	2
TM9SF3	2
TNIK	4
TNPO1	2
TNPO2	2
TNRC6A	2
TNRC6C	2
TOP1	3
TOP2A	2
TOP2B	4
TRA2B	3
TRIM24	2
TRIM33	2
TRIO	2
TRIP12	2
TRPC1	2
TRRAP	10
TUBB2B	2
TUBB4B	3
U2AF1	4
U2AF2	5
U2SURP	5
UBA2	3
UBE2D2	2
UBE2H	2
UBE2I	2
UBE2K	4
UBE2Q1	2
UBE3A	3
UBR4	3
UBR5	4
UBTF	5
UBXN7	2
UNC13A	4
UNC79	2
UPF1	2
USP22	2
USP24	3
USP34	6
USP7	4
VCL	2
VCP	4
WAPAL	2
WDFY3	2
WDR19	2
WDR26	2
WDR33	5
WDR5	3
WDTC1	3
WHSC1	2
WNK1	2
XPO1	8
XPO7	2
YPEL2	2
YWHAZ	3
YY1	2
ZBTB1	2
ZBTB18	2
ZBTB20	3
ZBTB26	2
ZBTB7A	3
ZCCHC11	3
ZFP91	2
ZMYM2	3
ZMYM4	3
ZMYND8	3
ZNF595	2
ZRANB2	2
ZSWIM8	5
